,k,points_per_color,seed,weight_method,use_subsampling,subsample_ratio,majority_share,runtime
71,4,"[2000, 3000]",4,uniform,True,0.02,1.0,2.5942487716674805
72,4,"[2000, 3000]",4,uniform,True,0.03,1.0,2.8975298404693604
73,4,"[2000, 3000]",4,uniform,True,0.04,1.0,3.3081207275390625
74,4,"[2000, 3000]",4,uniform,True,0.05,1.0,3.6794230937957764
75,4,"[1250, 3750]",5,uniform,True,0.01,1.0,2.3454620838165283
76,4,"[1250, 3750]",5,uniform,True,0.02,1.0,2.5703606605529785
77,4,"[1250, 3750]",5,uniform,True,0.03,1.0,2.952765464782715
78,4,"[1250, 3750]",5,uniform,True,0.04,1.0,3.4356741905212402
79,4,"[1250, 3750]",5,uniform,True,0.05,1.0,4.2987220287323
80,4,"[1666, 3334]",5,uniform,True,0.01,1.0,2.2612409591674805
81,4,"[1666, 3334]",5,uniform,True,0.02,1.0,2.4915473461151123
82,4,"[1666, 3334]",5,uniform,True,0.03,1.0,2.782008647918701
83,4,"[1666, 3334]",5,uniform,True,0.04,1.0,3.5658085346221924
84,4,"[1666, 3334]",5,uniform,True,0.05,1.0,3.8851356506347656
85,4,"[2000, 3000]",5,uniform,True,0.01,1.0,2.329528331756592
86,4,"[2000, 3000]",5,uniform,True,0.02,1.0,2.5263993740081787
87,4,"[2000, 3000]",5,uniform,True,0.03,1.0,2.8805935382843018
88,4,"[2000, 3000]",5,uniform,True,0.04,1.0,3.587601661682129
89,4,"[2000, 3000]",5,uniform,True,0.05,1.0,4.177038908004761
90,4,"[1250, 3750]",6,uniform,True,0.01,1.0,2.2874016761779785
91,4,"[1250, 3750]",6,uniform,True,0.02,1.0,2.6795244216918945
92,4,"[1250, 3750]",6,uniform,True,0.03,1.0,3.1391496658325195
93,4,"[1250, 3750]",6,uniform,True,0.04,1.0,3.829071521759033
94,4,"[1250, 3750]",6,uniform,True,0.05,1.0,4.82162880897522
95,4,"[1666, 3334]",6,uniform,True,0.01,1.0,2.2571523189544678
96,4,"[1666, 3334]",6,uniform,True,0.02,1.0,2.5841517448425293
97,4,"[1666, 3334]",6,uniform,True,0.03,1.0,2.8090336322784424
98,4,"[1666, 3334]",6,uniform,True,0.04,1.0,3.6248362064361572
99,4,"[1666, 3334]",6,uniform,True,0.05,1.0,4.438323497772217
100,4,"[2000, 3000]",6,uniform,True,0.01,1.0,2.3236920833587646
101,4,"[2000, 3000]",6,uniform,True,0.02,1.0,2.623772144317627
102,4,"[2000, 3000]",6,uniform,True,0.03,0.9375,2.8871161937713623
103,4,"[2000, 3000]",6,uniform,True,0.04,1.0,3.3714523315429688
104,4,"[2000, 3000]",6,uniform,True,0.05,1.0,3.741877555847168
105,4,"[1250, 3750]",7,uniform,True,0.01,1.0,2.28021502494812
106,4,"[1250, 3750]",7,uniform,True,0.02,1.0,2.710793972015381
107,4,"[1250, 3750]",7,uniform,True,0.03,1.0,2.966156482696533
108,4,"[1250, 3750]",7,uniform,True,0.04,1.0,3.5318410396575928
109,4,"[1250, 3750]",7,uniform,True,0.05,1.0,4.4582436084747314
110,4,"[1666, 3334]",7,uniform,True,0.01,1.0,2.33229923248291
111,4,"[1666, 3334]",7,uniform,True,0.02,1.0,2.4397034645080566
112,4,"[1666, 3334]",7,uniform,True,0.03,1.0,2.865067720413208
113,4,"[1666, 3334]",7,uniform,True,0.04,1.0,3.5189132690429688
114,4,"[1666, 3334]",7,uniform,True,0.05,1.0,4.181857585906982
115,4,"[2000, 3000]",7,uniform,True,0.01,1.0,2.340459108352661
116,4,"[2000, 3000]",7,uniform,True,0.02,1.0,2.5862877368927
